ID,"SKOS:prefLabel ""es""","skos:definition ""es""","SKOS:prefLabel ""en""","SKOS:altLabel ""en""",dc:source,"skos:definition ""en""",SKOS:ExactMatch,SKOS:CloseMatch,"skos:historyNote ""es""","skos:scopeNote ""es""",SKOS:broader,SKOS:narrower,owl:deprecated
QF_IODE,Esquema de Banderas de Calidad IODE,"Esquema de banderas de calidad principal, recomendado por el Intergovernmental Oceanographic Data and Information Exchange (IODE) para facilitar el intercambio de datos.",IODE Quality Flag Scheme,IODE,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",Primary quality flag scheme recommended by the Intergovernmental Oceanographic Data and Information Exchange (IODE) to facilitate data exchange.,,,,,,"IODE_1
IODE_2
IODE_3
IODE_4
IODE_9",FALSE
IODE_1,Bueno,Pasó las pruebas de control de calidad (QC) documentadas y requeridas.,Good,1,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",Passed documented required QC tests,"ODV_0
SDN_1
SDN_2
SDN_5
SDN_8
GTSPP_1
GTSPP_2
GTSPP_5
WOCE_2",,,,QF_IODE,,FALSE
IODE_2,No evaluado o desconocido,Se utiliza para datos a los que no se les realizó ninguna prueba de QC o para los que no se dispone de información sobre su calidad.,"Not evaluated, not available or unknown",2,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",Used for data when no QC test performed or the information on quality is not available,"ODV_1
SDN_0
GTSPP_0
WOCE_6
WOCE_7
WOCE_8",,,,QF_IODE,,FALSE
IODE_3,Cuestionable / Sospechoso,Falló pruebas métricas no críticas documentadas o pruebas subjetivas.,Questionable/suspect,3,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",Failed non-critical documented metric or subjective test(s),"ODV_4
SDN_3
SDN_A
GTSPP_3
WOCE_3",,,,QF_IODE,,FALSE
IODE_4,Malo,Falló pruebas de QC críticas documentadas o fue asignado así por el proveedor de datos.,Bad,4,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",Failed critical documented QC test(s) or as assigned by the data provider,"ODV_8
SDN_4
SDN_6
SDN_7
GTSPP_4
WOCE_4",,,,QF_IODE,,FALSE
IODE_9,Dato faltante,Se utiliza como marcador de posición cuando faltan datos.,Missing data,9,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",Used as place holder when data are missing,"SDN_9
GTSPP_9
WOCE_1
WOCE_5
WOCE_9",,,,QF_IODE,,FALSE
QF_ODV,Esquema de Banderas de Calidad ODV,Esquema genérico de banderas de calidad utilizado por el software Ocean Data View (ODV).,ODV Quality Flag Scheme,ODV,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",Generic quality flag scheme used by the Ocean Data View (ODV) software.,,,,,,"ODV_0
ODV_1
ODV_4
ODV_8",FALSE
ODV_0,Bueno (ODV),Valor bueno.,Good (ODV),0,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",Good,IODE_1,,,,QF_ODV,,FALSE
ODV_1,Desconocido (ODV),Calidad desconocida.,Unknown (ODV),1,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",Unknown,IODE_2,,,,QF_ODV,,FALSE
ODV_4,Cuestionable (ODV),Valor cuestionable.,Questionable (ODV),4,"Paris. Intergovernmental Oceanographic Commission of UNESCO. 2013.Ocean Data Standards, Vol.3: Recommendation for a Quality Flag Scheme for the Exchange of Oceanographic and Marine Meteorological Data. (IOC Manuals and Guides, 54, Vol. 3.) 12 pp. (English.)(IOC/2013/MG/54-3)",Questionable,IODE_3,,,,QF_ODV,,FALSE
