ID,"SKOS:prefLabel ""es""","skos:definition ""es""","SKOS:prefLabel ""en""","SKOS:prefLabel ""en""","skos:definition ""en""",SKOS:ExactMatch,SKOS:CloseMatch,SKOS:broader,SKOS:narrower,dc:source,"skos:historyNote ""es""","skos:scopeNote ""es""",gml:lowerCorner,gml:upperCorner,owl:deprecated
PORT,Puerto,"Infraestructura costera o fluvial destinada al atraque de embarcaciones, la carga y descarga de mercancías, y el tránsito de pasajeros.",Port,,"Coastal or fluvial infrastructure intended for docking vessels, loading/unloading goods, and passenger transit.",,,,"BSH1287
BSH1144
BSH1169
BSH1179
BSH1177
BSH1247
BSH1322
BSH1128
BSH1334
BSH1122
BSH279
BSH1166
BSH173
BSH1125
BSH1246
BSH1278
BSH1113
BSH1283
BSH1126
BSH122
BSH1124
BSH1292
BSH215
BSH1180
BSH1289
BSH1291
BSH1328
BSH1189
BSH1255
BSH1280
BSH1316
BSH1296
BSH1323
BSH1178
BSH1288
BSH172
BSH1299
BSH1259
BSH1176
BSH1231
BSH1294
BSH1275
BSH126
BSH1270
BSH1260
BSH1319
BSH1295
BSH1257
BSH1274
BSH33
BSH1306
BSH1262","Gabinete de oceanografía fisica, INIDEP.",,,,,FALSE
BSH1287,Paraná,"Puerto fluvial ubicado en la ciudad de Paraná, provincia de Entre Ríos, Argentina.",Paraná,,"Fluvial port located in the city of Paraná, Entre Ríos province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1287/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-31.716667 -60.533333,-31.716667 -60.533333,FALSE
BSH1144,Puerto Madryn,"Puerto marítimo ubicado en la costa de la provincia del Chubut, Argentina.",Puerto Madryn,,"Maritime port located on the coast of Chubut province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1144/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-42.766667 -65.033333,-42.766667 -65.033333,FALSE
BSH1169,Puerto San Blas,"Puerto ubicado en la costa bonaerense, en cercanías de la bahía homónima, Argentina.",Puerto San Blas,,"Port located on the Buenos Aires coast, near the San Blas Bay, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1169/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-40.566667 -62.233333,-40.566667 -62.233333,FALSE
BSH1179,Puerto Nacional,"Puerto argentino ubicado al sur de la ciudad de Bahía Blanca, provincia de Buenos Aires.",Puerto Nacional,,"Port located south of Bahía Blanca, Buenos Aires province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1179/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-38.8 -62.283333,-38.8 -62.283333,FALSE
BSH1177,Puerto Belgrano,"Base naval y puerto ubicado cerca de Punta Alta, provincia de Buenos Aires, Argentina.",Puerto Belgrano,,"Naval base and port located near Punta Alta, Buenos Aires province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1177/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-38.883333 -62.1,-38.883333 -62.1,FALSE
BSH1247,Zárate,"Puerto fluvial industrial sobre el río Paraná, en la provincia de Buenos Aires, Argentina.",Zárate,,"Industrial fluvial port on the Paraná River, Buenos Aires province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1247/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-34.083333 -59.033333,-34.083333 -59.033333,FALSE
BSH1322,Barranqueras,"Puerto fluvial en la provincia del Chaco, ubicado sobre el río Paraná, Argentina.",Barranqueras,,"Fluvial port in Chaco province, located on the Paraná River, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1322/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-27.5 -58.916667,-27.5 -58.916667,FALSE
BSH1128,Comodoro Rivadavia,"Puerto marítimo de aguas profundas en la costa de la provincia del Chubut, Argentina.",Comodoro Rivadavia,,"Deep-water maritime port on the coast of Chubut province, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1128/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-45.866667 -67.466667,-45.866667 -67.466667,FALSE
BSH1334,Puerto Formosa,"Puerto fluvial sobre el río Paraguay en la ciudad de Formosa, Argentina.",Puerto Formosa,,"Fluvial port on the Paraguay River in the city of Formosa, Argentina.",http://vocab.nerc.ac.uk/collection/C38/current/BSH1334/,,PORT,,"Gabinete de oceanografía fisica, INIDEP.",,,-26.183333 -58.183333,-26.183333 -58.183333,FALSE
