ID,"SKOS:prefLabel ""es""","skos:definition ""es""","SKOS:prefLabel ""en""","SKOS:altLabel ""en""",dc:source,"skos:definition ""en""",SKOS:ExactMatch,SKOS:CloseMatch,"skos:historyNote ""es""","skos:scopeNote ""es""",SKOS:broader,SKOS:narrower,owl:deprecated
INIDEP,Instituto Nacional de Investigación y Desarrollo Pesquero,Organismo público de Argentina dedicado a la investigación científica y técnica de los recursos pesqueros y el ambiente marino.,National Institute for Fisheries Research and Development,INIDEP,https://www.argentina.gob.ar/inidep,Public body in Argentina dedicated to the scientific and technical research of fishery resources and the marine environment.,,,,,,,FALSE
SHN,Servicio de Hidrografía Naval,"Organismo de la Armada Argentina responsable de la seguridad náutica, la cartografía marina y la investigación oceanográfica.",Naval Hydrographic Service,SHN,https://www.hidro.gob.ar/,"Agency of the Argentine Navy responsible for nautical safety, marine cartography, and oceanographic research.",,,,,,,FALSE
CENPAT,Centro Nacional Patagónico -CONICET,"Centro de investigación multidisciplinario del CONICET en Puerto Madryn, enfocado en ecosistemas marinos y terrestres de la Patagonia.",National Patagonian Center -CONICET,CENPAT,https://cenpat.conicet.gov.ar/,"Multidisciplinary research center of CONICET in Puerto Madryn, focused on marine and terrestrial ecosystems of Patagonia.",,,,,CONICET,,FALSE
CADIC,Centro Austral de Investigaciones Científicas -CONICET,"Centro de investigación multidisciplinario del CONICET en Ushuaia, dedicado al estudio de los sistemas subantárticos.",Austral Center for Scientific Research -CONICET,CADIC,https://cadic.conicet.gov.ar/,"Multidisciplinary research center of CONICET in Ushuaia, dedicated to the study of subantarctic systems.",,,,,CONICET,,FALSE
IFREMER,Institut Français de Recherche pour l'Exploitation de la Mer,Instituto francés de investigación dedicado al conocimiento y la explotación sostenible de los recursos marinos.,French Research Institute for Exploitation of the Sea,IFREMER,https://www.ifremer.fr/en/,French research institute dedicated to the knowledge and sustainable exploitation of marine resources.,,,,,,,FALSE
LDGO,Lamont-Doherty Earth Observatory of Columbia University,"Instituto de investigación de la Universidad de Columbia, líder en ciencias de la tierra, clima y océano.",Lamont-Doherty Earth Observatory of Columbia University,LDEO,https://www.ldeo.columbia.edu/,"Research institute of Columbia University, a leader in earth, climate, and ocean sciences.",,,,,,,FALSE
IAA,Instituto Antártico Argentino,Organismo gubernamental de Argentina que centraliza la planificación y ejecución de la investigación científica en la Antártida.,Argentine Antarctic Institute,IAA,https://www.argentina.gob.ar/ciencia/iaa,Governmental body of Argentina that centralizes the planning and execution of scientific research in Antarctica.,,,,,,,FALSE
IEO,Instituto Español de Oceanografía,Organismo público de investigación de España dedicado al estudio de los mares y sus recursos.,Spanish Institute of Oceanography,IEO,https://www.ieo.csic.es/,Public research organization in Spain dedicated to the study of the seas and their resources.,,,,,,,FALSE
COPLA,Comisión Nacional del Límite Exterior de la Plataforma Continental,Comisión del gobierno argentino encargada de establecer el límite exterior de la plataforma continental argentina.,National Commission on the Outer Limit of the Continental Shelf,COPLA,https://www.argentina.gob.ar/copla,Argentine government commission responsible for establishing the outer limit of the Argentine continental shelf.,,,,,,,FALSE
CONICET,Consejo Nacional de Investigaciones Científicas y Técnicas,Principal organismo de Argentina dedicado a la promoción de la ciencia y la tecnología.,National Scientific and Technical Research Council,CONICET,https://www.conicet.gov.ar/,The main agency in Argentina dedicated to the promotion of science and technology.,,,,,,"CENPAT
CADIC
IADO
CIMA",FALSE
