ID,"SKOS:prefLabel ""es""","skos:definition ""es""","SKOS:prefLabel ""en""","SKOS:altLabel ""en""","skos:definition ""en""",dc:source,SKOS:ExactMatch,SKOS:CloseMatch,"skos:historyNote ""es""","skos:scopeNote ""es""",SKOS:broader,SKOS:narrower,owl:deprecated
PHYSPARAM,Parámetros Físicos del Agua,"Variables que describen las propiedades físicas de la columna de agua, como la temperatura, salinidad, densidad y corrientes.",Physical Water Parameters,,"Variables that describe the physical properties of the water column, such as temperature, salinity, density, and currents.","Gabinete de oceanografía fisica, INIDEP.",,,,,,"WVST
H1/3
WPMH
SSH
PIC
CTDCOND
DENSITY
CURDIR
WAVEDIR
FLUOR
TSS
PAR
WAVEPER
PRES
DEPTH
DEPTH_BOT
SALNTY
TEMP
TURBID
CUR_U
CUR_V
CUR_SPD
CUR_W
SEADIR
WINDIR
SEASTATE
HUMID
ATMPRES
AIRTEMP
WBTEMP
WINSPEED",FALSE
WVST,Estadistica de ola,Parámetros estadísticos derivados de registros de olas para expresar la altura y el período de las olas.,WaveStats,,Statistical parameters derived from wave records to express wave height and period.,"Gabinete de oceanografía fisica, INIDEP.",http://vocab.nerc.ac.uk/collection/P02/current/WVST/,"https://vocab.nerc.ac.uk/collection/P01/current/GTDTZZ01/ 
https://vocab.nerc.ac.uk/collection/P07/current/IRPTM00V/
http://mmisw.org/ont/ioos/parameter/wave_height",,,PHYSPARAM,,FALSE
H1/3,Altura significativa de ola,promedio del tercio superior de las olas registradas en un determinado tiempo,Average height of the highest 1/3er,,The mean of the highest third of waves on the water body analysed by zero crossing method.,"Gabinete de oceanografía fisica, INIDEP.",http://vocab.aodn.org.au/def/discovery_parameter/entity/35,http://vocab.nerc.ac.uk/collection/P01/current/GAVHZZ01/,,,PHYSPARAM,,FALSE
WPMH,Periodo de ola,periodo medio entre el cruce por cero con pendiente positiva,Average zero crossing period,,The period of the significant wave analysed by zero crossing method.,"Gabinete de oceanografía fisica, INIDEP.",http://vocab.aodn.org.au/def/discovery_parameter/entity/36,http://vocab.nerc.ac.uk/collection/P01/current/GTZAZZ01/,,,PHYSPARAM,,FALSE
SSH,Altura de la superficie del mar,"Distancia vertical entre la superficie del mar y el plano de reducción o nivel que se especifique, para un instante determinado",Sea surface height,,"Vertical distance between the sea surface and a specified reference level or datum, at a given instant.","Gabinete de oceanografía fisica, INIDEP.",,,,,PHYSPARAM,,FALSE
PIC,Carbono Inorgánico Particulado ,"Fracción de la materia particulada compuesta por carbono en forma inorgánica, típicamente asociado a minerales carbonatados de origen biológico.",Particulate Inorganic Carbon,,"Fraction of particulate matter composed of inorganic carbon, typically associated with biogenic carbonate minerals.","Gabinete de oceanografía fisica, INIDEP.",,,,,PHYSPARAM,,FALSE
CTDCOND,Conductividad,Conductividad eléctrica del cuerpo de agua.,Conductivity,,Electrical conductivity of the water body.,"Gabinete de oceanografía fisica, INIDEP.","https://vocab.nerc.ac.uk/collection/P01/current/CNDCZZ01/
https://vocab.nerc.ac.uk/collection/P02/current/CNDC/
https://gcmd.earthdata.nasa.gov/kms/concept/7041e51c-e2de-405a-b154-6016f624f54f
 https://vocab.nerc.ac.uk/collection/P07/current/CFSN0394/
 http://mmisw.org/ont/ioos/parameter/conductivity
https://earthportal.eu/ontologies/SWEET/Conductivity",,,,PHYSPARAM,,FALSE
DENSITY,Densidad,"Densidad de la columna de agua (generalmente expresada como anomalía de densidad), calculada a partir de la presión, la temperatura y la salinidad (o conductividad).",Density,,"Density of the water column (usually expressed as density anomaly), calculated from pressure, temperature, and salinity (or conductivity).","Gabinete de oceanografía fisica, INIDEP.","https://vocab.nerc.ac.uk/collection/P02/current/SIGT/
 https://gcmd.earthdata.nasa.gov/kms/concept/007ab607-2ee1-484d-85fb-0bfb89f18c9b
 http://vocab.aodn.org.au/def/parameter_classes/category/23",,,,PHYSPARAM,,FALSE
CURDIR,Dirección de la corriente,Dirección de la corriente.,Current direction,,Direction of water current.,"Gabinete de oceanografía fisica, INIDEP.","http://vocab.nerc.ac.uk/collection/P01/current/LCDAZZ01
 http://mmisw.org/ont/ioos/parameter/current_to_direction",,,,PHYSPARAM,,FALSE
WAVEDIR,Dirección de ola,Dirección de propagación de la ola.,Wave direction,,Wave propagation direction.,"Gabinete de oceanografía fisica, INIDEP.","https://vocab.nerc.ac.uk/collection/P01/current/GDSPWR01/
 https://vocab.nerc.ac.uk/collection/P02/current/GWDR/
 https://gcmd.earthdata.nasa.gov/kms/concept/037ce518-b71f-4599-b37f-feab9cc9809d
 https://vocab.nerc.ac.uk/collection/P07/current/8WMKETJA/
 http://mmisw.org/ont/ioos/parameter/mean_wave_direction",https://vocab.nerc.ac.uk/collection/P01/current/GWDRZZ01/,,,PHYSPARAM,,FALSE
